date,action,price,shares,amount,commission,cash,position
2025-01-20,买入,1423.1699999999998,700,996218.9999999999,298.86569999999995,3482.1343000001507,0.9965168246983751
2025-01-23,卖出,1391.37,700,973958.9999999999,292.18769999999995,977148.9466,0.0
2025-02-12,买入,1391.37,700,973958.9999999999,292.18769999999995,2897.7589000001317,0.9970335887287475
2025-03-26,卖出,1524.37,700,1067059.0,320.11769999999996,1069636.6412,0.0
2025-05-08,买入,1526.5599999999995,700,1068591.9999999995,320.57759999999985,724.0636000004597,0.9993228722314684
2025-05-22,卖出,1528.37,700,1069859.0,320.9577,1070262.1059000005,0.0
2025-06-26,买入,1396.043,700,977230.1,293.16902999999996,92738.83687000058,0.9133256736019915
2025-08-01,卖出,1393.043,700,975130.1,292.53902999999997,1067576.3978400007,0.0
2025-08-19,买入,1414.043,700,989830.1,296.94903,77449.3488100007,0.9274329240609331
2025-09-18,卖出,1444.003,700,1010802.1,303.24062999999995,1087948.2081800005,0.0
2025-10-16,买入,1460.953,700,1022667.1,306.80012999999997,64974.308050000574,0.9402612776884882
2025-10-28,卖出,1421.043,700,994730.1,298.41902999999996,1059405.9890200007,0.0
2025-11-10,买入,1438.3429999999998,700,1006840.0999999999,302.05202999999995,52263.8369900008,0.9506527781035957
2025-11-26,卖出,1425.1929999999998,700,997635.0999999999,299.29052999999993,1049599.6464600007,0.0
2025-12-17,买入,1409.143,700,986400.1,295.92002999999994,62903.626430000644,0.9400520317944405
2025-12-31,卖出,1377.18,700,964026.0,289.20779999999996,1026640.4186300007,0.0
