from_phase,to_phase,count,mean_excess_5d,mean_excess_10d,mean_excess_20d,winrate_5d,winrate_10d,winrate_20d,decay_signal
accel_down,decel_down,49,1.2,2.7,3.89,66.0,74.5,75.0,2.6900000000000004
decel_down,neutral,537,0.28,1.19,2.04,51.7,62.6,67.0,1.76
neutral,decel_down,735,0.38,1.06,1.59,58.6,59.5,66.0,1.21
decel_down,accel_down,32,-1.0,0.76,1.32,34.4,66.7,63.3,2.3200000000000003
decel_down,accel_up,282,-0.37,-0.82,1.04,43.1,40.4,56.8,1.4100000000000001
decel_up,accel_up,62,-0.45,0.5,0.7,54.8,48.4,51.6,1.15
accel_down,decel_up,145,0.19,-0.22,0.61,57.0,57.0,55.3,0.42
accel_down,neutral,1302,0.32,0.19,0.49,53.4,54.1,54.0,0.16999999999999998
neutral,accel_up,1981,-0.1,0.16,0.42,49.8,51.5,54.2,0.52
accel_up,neutral,2167,0.11,0.44,0.41,51.6,54.5,55.2,0.3
neutral,accel_down,1113,0.28,0.47,0.35,54.0,55.6,54.9,0.06999999999999995
accel_up,decel_down,75,-0.25,-0.98,-0.19,48.6,47.8,58.5,0.06
decel_up,accel_down,293,0.55,-0.14,-0.51,61.0,51.9,50.0,-1.06
accel_up,decel_up,81,0.32,-0.81,-0.8,59.3,44.4,46.8,-1.12
neutral,decel_up,1343,0.21,-0.12,-1.05,55.0,51.5,49.7,-1.26
decel_up,neutral,1215,-0.52,-0.71,-1.37,49.1,47.5,48.5,-0.8500000000000001
