sector_name,n_bull_signals,mean_excess_20d,median_20d,winrate_20d,best_event,worst_event
贵金属,20,20.05,13.3,75.0,97.76,-19.36
航天装备,21,6.58,0.15,52.4,52.85,-17.91
广告营销,20,6.06,4.07,60.0,24.69,-7.68
游戏,25,5.56,6.6,88.0,14.07,-17.6
装修装饰,16,5.3,5.68,75.0,15.57,-4.36
油服工程,23,4.6,3.2,78.3,19.38,-3.67
IT服务,19,4.57,5.6,78.9,12.35,-5.51
文娱用品,19,4.46,4.87,73.7,17.06,-9.82
医疗服务,22,4.22,4.85,86.4,12.4,-18.42
军工电子,23,4.12,5.35,65.2,23.6,-15.86
通信设备,23,4.07,3.96,69.6,18.37,-9.74
工业金属,18,3.84,3.06,77.8,14.78,-5.73
体育,25,3.54,1.06,52.0,30.97,-16.97
油气开采,22,3.53,2.12,72.7,17.09,-11.05
饰品,23,3.47,3.66,65.2,23.7,-15.92
家居用品,22,3.34,4.36,77.3,11.96,-5.59
电视广播,23,3.24,2.89,82.6,14.84,-6.2
航海装备,21,3.22,4.31,66.7,18.1,-18.04
金属新材料,21,3.05,5.69,66.7,15.79,-24.41
光伏设备,21,3.01,2.58,52.4,21.91,-10.21
小金属,27,3.01,5.3,70.4,18.49,-21.29
保险,15,2.84,2.12,60.0,23.14,-12.89
光学光电子,17,2.83,4.81,70.6,10.27,-15.88
电子化学品,27,2.82,4.76,63.0,14.99,-16.26
专用设备,23,2.73,3.35,82.6,10.24,-9.1
照明设备,20,2.7,3.36,75.0,10.45,-5.53
化学制药,18,2.67,3.78,77.8,16.9,-20.04
塑料,28,2.65,4.89,75.0,11.14,-15.96
玻璃玻纤,20,2.6,1.81,65.0,22.75,-21.59
生物制品,20,2.52,2.93,75.0,10.79,-25.82
化学原料,21,2.51,1.82,71.4,8.9,-12.42
酒店餐饮,16,2.49,6.32,56.2,36.91,-25.01
航空装备,22,2.42,4.19,68.2,16.95,-19.41
其他电源设备,25,2.36,2.55,68.0,20.59,-17.15
元件,24,2.3,1.82,70.8,11.92,-14.68
半导体,23,2.2,5.04,65.2,19.48,-22.57
电池,24,2.2,2.03,58.3,21.39,-17.51
化妆品,24,2.19,4.19,70.8,13.56,-19.41
自动化设备,24,2.11,3.71,70.8,14.48,-19.42
水泥,20,2.06,3.14,65.0,18.05,-18.2
化学制品,21,1.94,2.88,66.7,9.66,-9.11
服装家纺,27,1.89,1.94,59.3,12.97,-9.91
炼化及贸易,18,1.88,2.5,61.1,14.02,-21.11
能源金属,23,1.85,4.39,60.9,12.86,-18.09
冶钢原料,20,1.83,1.73,70.0,14.41,-18.78
调味发酵品,21,1.74,2.65,61.9,11.73,-14.83
电网设备,21,1.65,0.85,61.9,15.05,-8.48
消费电子,23,1.64,1.75,56.5,20.11,-16.98
出版,18,1.64,2.35,72.2,14.36,-16.52
家电零部件,20,1.54,3.6,65.0,10.08,-17.82
个护用品,25,1.51,2.16,76.0,14.85,-13.48
贸易,20,1.46,2.15,75.0,7.26,-8.47
软件开发,20,1.32,0.14,50.0,15.17,-10.53
教育,24,1.3,-0.47,45.8,11.08,-14.4
环境治理,20,1.27,1.91,55.0,9.12,-10.65
农产品加工,23,1.25,0.44,56.5,11.11,-10.59
专业服务,25,1.23,2.29,68.0,6.74,-10.2
其他电子,24,1.22,2.48,62.5,9.83,-12.64
环保设备,27,1.08,1.86,63.0,10.92,-12.82
工程机械,24,1.06,1.92,58.3,15.07,-14.42
医疗美容,19,1.05,-2.29,42.1,34.56,-17.15
通用设备,21,1.05,1.87,66.7,13.81,-15.94
计算机设备,26,1.02,2.51,73.1,13.68,-13.92
化学纤维,23,0.97,0.85,56.5,10.33,-13.93
装修建材,21,0.93,-0.12,47.6,9.29,-7.71
医疗器械,25,0.93,1.93,72.0,13.65,-18.65
农商行,18,0.93,3.9,55.6,15.71,-16.04
橡胶,19,0.89,1.58,63.2,9.1,-13.86
医药商业,22,0.85,1.85,63.6,16.61,-21.24
林业,15,0.76,1.29,66.7,45.95,-16.25
专业工程,17,0.75,0.01,52.9,13.17,-10.94
非金属材料,23,0.71,0.47,52.2,8.47,-8.9
农化制品,25,0.71,2.58,56.0,11.24,-16.4
工程咨询服务,23,0.65,2.01,65.2,6.91,-9.21
包装印刷,24,0.58,0.84,54.2,13.28,-16.7
纺织制造,24,0.56,1.96,62.5,9.94,-17.46
汽车零部件,24,0.5,1.92,58.3,10.6,-19.2
动物保健,28,0.49,2.26,71.4,16.04,-25.26
中药,20,0.41,3.49,60.0,9.64,-15.98
焦炭,26,0.31,0.68,57.7,12.26,-7.57
基础建设,19,0.29,1.87,68.4,7.21,-9.17
电力,22,0.26,1.83,68.2,4.38,-7.72
燃气,16,0.16,1.37,62.5,7.92,-9.02
其他家电,23,0.1,2.53,56.5,19.25,-17.7
股份制银行,24,0.01,2.43,58.3,10.39,-10.83
煤炭开采,23,0.0,-0.0,34.8,0.02,-0.02
影视院线,20,-0.02,-0.99,50.0,58.15,-42.01
造纸,21,-0.12,0.69,66.7,6.18,-17.17
房地产开发,27,-0.22,0.18,55.6,8.42,-14.73
小家电,29,-0.22,0.54,62.1,10.08,-20.78
种植业,21,-0.29,-0.65,38.1,8.82,-11.91
黑色家电,23,-0.29,1.46,52.2,19.23,-19.91
互联网电商,17,-0.36,1.22,58.8,8.77,-18.74
电机,17,-0.38,-0.07,47.1,12.38,-10.96
轨交设备,20,-0.42,1.15,55.0,8.36,-17.4
数字媒体,21,-0.52,0.13,52.4,9.51,-15.48
休闲食品,17,-0.59,0.51,52.9,8.0,-14.14
物流,23,-0.64,-0.32,43.5,7.08,-13.17
风电设备,22,-0.67,0.62,54.5,10.84,-20.03
航空机场,21,-0.71,-0.17,47.6,7.7,-18.98
多元金融,24,-0.72,0.18,50.0,7.02,-13.9
通信服务,20,-0.75,-0.74,40.0,10.42,-14.29
饲料,25,-1.22,0.24,52.0,8.65,-18.58
国有大型银行,23,-1.32,-0.39,47.8,9.29,-15.97
非白酒,28,-1.37,-1.32,42.9,13.78,-19.28
房地产服务,25,-1.78,-2.27,48.0,9.48,-18.12
食品加工,21,-1.79,-2.13,38.1,7.6,-16.57
地面兵装,19,-1.92,-6.96,36.8,51.24,-20.42
摩托车及其他,24,-1.96,-0.83,37.5,14.44,-13.51
乘用车,25,-2.0,-3.15,36.0,7.44,-15.06
航运港口,21,-2.05,-2.49,38.1,4.75,-8.46
渔业,24,-2.33,-0.92,41.7,21.93,-20.5
铁路公路,23,-2.37,-1.41,30.4,9.52,-16.61
白色家电,24,-2.59,-2.51,37.5,9.21,-17.11
农业综合,18,-2.59,-2.14,33.3,4.49,-9.42
普钢,23,-2.62,-2.31,30.4,12.55,-19.26
厨卫电器,24,-2.68,-2.02,33.3,7.63,-19.73
证券,29,-2.79,-1.52,37.9,7.94,-14.77
汽车服务,19,-3.21,0.26,52.6,5.78,-20.75
特钢,24,-3.25,-2.12,37.5,20.65,-24.15
房屋建设,22,-3.34,-1.88,13.6,1.49,-17.19
一般零售,25,-3.38,-3.36,36.0,10.77,-22.23
养殖业,19,-3.48,-1.76,26.3,5.72,-22.97
城商行,23,-3.51,-5.12,34.8,5.79,-12.43
专业连锁,21,-4.2,-4.46,28.6,17.34,-32.29
旅游零售,24,-4.2,-2.75,33.3,9.32,-18.75
旅游及景区,16,-4.54,-2.46,43.8,13.86,-33.28
饮料乳品,21,-4.75,-4.48,38.1,11.7,-22.95
商用车,28,-5.0,-5.16,39.3,9.97,-25.58
白酒,22,-8.58,-8.52,27.3,17.74,-32.6
